2024-08-24 17:22:24,842 [INFO]  starting up 24-08-24-1722_setting0 at 1.986894208472222
2024-08-24 17:22:24,872 [INFO]  git SHA: cd5fa54154593ef9c41ab71101e5be212113e163
2024-08-24 17:22:24,872 [INFO]  setting file name: s0
2024-08-24 17:22:24,872 [INFO]  parameters {'points_per_cent': 2, 'time_limit': 5, 'correct_responses': ['f', 'j'], 'combination_num': 8}
2024-08-24 17:22:26,022 [INFO]  Created window with size [3840 2160]
2024-08-24 17:22:26,204 [INFO]  Using dummy triggers
2024-08-24 17:22:26,204 [INFO]  begin main
2024-08-24 17:22:26,205 [DEBUG]  message: Ready? Let go! (None)
2024-08-24 17:22:26,848 [INFO]  Starting block 0: {'left_cue_condition': 0.5, 'stimA_condition': 0.5}
2024-08-24 17:22:26,848 [INFO]  block 0 label:('<<<<<>>>>>', 'oooooxxxxx')
2024-08-24 17:22:26,848 [DEBUG]  message: Block 1: 
cue proportion <<<<<>>>>> 
stimulus proportion oooooxxxxx (None)
2024-08-24 17:22:27,775 [INFO]  begin trial {"cue_direction": "left", "stimulus": "A|A", "correct_response": "f", "left_cue_condition": 0.5, "stimA_condition": 0.5}
2024-08-24 17:22:27,775 [DEBUG]  Trial.log 4.920 initialize status = ok
2024-08-24 17:22:27,775 [DEBUG]  MouseLink message
2024-08-24 17:22:27,775 [DEBUG]  Trial.log 4.920 start recording 
2024-08-24 17:22:27,775 [DEBUG]  MouseLink message
2024-08-24 17:22:27,775 [INFO]  MouseLink start_recording
2024-08-24 17:22:27,775 [DEBUG]  Trial.log 4.920 start 
2024-08-24 17:22:27,775 [DEBUG]  MouseLink message
2024-08-24 17:22:27,777 [DEBUG]  Trial.log 4.922 show fixation 
2024-08-24 17:22:27,777 [INFO]  send trigger 0
2024-08-24 17:22:27,777 [DEBUG]  MouseLink message
2024-08-24 17:22:28,284 [DEBUG]  Trial.log 5.429 show cue 
2024-08-24 17:22:28,284 [INFO]  send trigger 1
2024-08-24 17:22:28,284 [DEBUG]  MouseLink message
2024-08-24 17:22:29,791 [DEBUG]  Trial.log 6.936 show fixation 
2024-08-24 17:22:29,791 [INFO]  send trigger 0
2024-08-24 17:22:29,791 [DEBUG]  MouseLink message
2024-08-24 17:22:30,303 [DEBUG]  Trial.log 7.448 start sound 
2024-08-24 17:22:30,303 [INFO]  send trigger 2
2024-08-24 17:22:30,303 [DEBUG]  MouseLink message
2024-08-24 17:22:30,803 [DEBUG]  Trial.log 7.948 start decision window 
2024-08-24 17:22:30,803 [DEBUG]  MouseLink message
2024-08-24 17:22:33,214 [DEBUG]  Trial.log 10.359 response response = f, performance = Correct
2024-08-24 17:22:33,214 [DEBUG]  MouseLink message
2024-08-24 17:22:33,214 [DEBUG]  Trial.log 10.359 done 
2024-08-24 17:22:33,214 [INFO]  send trigger 4
2024-08-24 17:22:33,214 [DEBUG]  MouseLink message
2024-08-24 17:22:33,214 [INFO]  end trial [{"time": 4.919689083471894, "event": "initialize", "status": "ok"}, {"time": 4.9197714168112725, "event": "start recording"}, {"time": 4.919839416863397, "event": "start"}, {"time": 4.9217308750376105, "event": "show fixation"}, {"time": 5.429292374989018, "event": "show cue"}, {"time": 6.935699250083417, "event": "show fixation"}, {"time": 7.448061250150204, "event": "start sound"}, {"time": 7.948253666749224, "event": "start decision window"}, {"time": 10.358659208519384, "event": "response", "response": "f", "performance": "Correct"}, {"time": 10.358810625039041, "event": "done"}]
2024-08-24 17:22:33,214 [INFO]  MouseLink stop_recording
2024-08-24 17:22:33,217 [INFO]  gt.status is ok
2024-08-24 17:22:33,217 [DEBUG]  add bonus points 0.08957533328793943 (total = 0)
2024-08-24 17:22:33,217 [INFO]  current bonus: 0.0
2024-08-24 17:22:33,217 [INFO]  1/2
2024-08-24 17:22:33,217 [INFO]  begin trial {"cue_direction": "left", "stimulus": "B|B", "correct_response": "j", "left_cue_condition": 0.5, "stimA_condition": 0.5}
2024-08-24 17:22:33,217 [DEBUG]  Trial.log 10.362 initialize status = ok
2024-08-24 17:22:33,217 [DEBUG]  MouseLink message
2024-08-24 17:22:33,217 [DEBUG]  Trial.log 10.362 start recording 
2024-08-24 17:22:33,217 [DEBUG]  MouseLink message
2024-08-24 17:22:33,217 [INFO]  MouseLink start_recording
