2.0057 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
2.0085 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
2.0086 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
2.0088 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
2.0233 	INFO 	time is 2024-08-24 16:06:53,246539
2.0482 	WARNING 	Monitor specification not found. Creating a temporary one...
2.0510 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
3.2072 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

3.2079 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16ef89dc0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16ef89d60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16ef89bb0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x309b77940>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.2082 	EXP 	window1: mouseVisible = True
3.2082 	EXP 	window1: backgroundImage = None
3.2083 	EXP 	window1: backgroundFit = 'cover'
3.2117 	INFO 	Mouse: using default window
3.2118 	EXP 	window1: mouseVisible = True
3.2126 	EXP 	window1: mouseVisible = False
3.2126 	EXP 	window1: units = 'pix'
3.2127 	INFO 	Mouse: using default window
3.7695 	WARNING 	t of last frame was 557.89ms (=1/1)
9.5612 	DATA 	Keypress: space
9.5665 	WARNING 	t of last frame was 5777.99ms (=1/0)
10.2553 	EXP 	window1: units = 'pix'
10.2554 	INFO 	Mouse: using default window
10.2829 	INFO 	Mouse: using default window
10.3022 	WARNING 	t of last frame was 735.73ms (=1/1)
42.9254 	DATA 	Keypress: return
43.1033 	WARNING 	t of last frame was 32801.09ms (=1/0)
43.1404 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
59.8803 	DATA 	Keypress: space
61.5950 	DATA 	Keypress: space
63.0213 	DATA 	Keypress: space
64.3350 	DATA 	Keypress: space
65.5586 	DATA 	Keypress: space
66.8110 	DATA 	Keypress: space
67.9421 	DATA 	Keypress: space
69.0635 	DATA 	Keypress: space
70.2815 	DATA 	Keypress: space
71.4022 	DATA 	Keypress: space
72.5127 	DATA 	Keypress: space
73.7502 	DATA 	Keypress: space
74.9337 	DATA 	Keypress: space
83.9903 	EXP 	window1: units = 'pix'
85.9445 	EXP 	window1: units = 'pix'
85.9482 	EXP 	window1: units = 'pix'
87.8173 	DATA 	Keypress: space
96.8730 	DATA 	Keypress: space
101.5150 	EXP 	Set  sound=./stim/G|P.mp3
101.5152 	EXP 	Sound  started
102.9535 	DATA 	Keypress: j
107.0273 	EXP 	Set  sound=./stim/P|G.mp3
107.0275 	EXP 	Sound  started
109.1454 	DATA 	Keypress: f
113.3723 	EXP 	Set  sound=./stim/P|P.mp3
113.3725 	EXP 	Sound  started
114.4735 	DATA 	Keypress: j
119.0004 	EXP 	Set  sound=./stim/G|P.mp3
119.0006 	EXP 	Sound  started
120.4175 	DATA 	Keypress: j
124.7186 	EXP 	Set  sound=./stim/G|G.mp3
124.7188 	EXP 	Sound  started
126.4575 	DATA 	Keypress: f
130.4774 	EXP 	Set  sound=./stim/G|G.mp3
130.4776 	EXP 	Sound  started
131.3215 	DATA 	Keypress: f
135.0472 	EXP 	Set  sound=./stim/P|P.mp3
135.0474 	EXP 	Sound  started
136.2094 	DATA 	Keypress: j
140.7676 	EXP 	Set  sound=./stim/P|P.mp3
140.7678 	EXP 	Sound  started
141.6814 	DATA 	Keypress: j
145.8479 	EXP 	Set  sound=./stim/P|P.mp3
145.8480 	EXP 	Sound  started
146.5454 	DATA 	Keypress: j
150.4318 	EXP 	Set  sound=./stim/G|P.mp3
150.4319 	EXP 	Sound  started
151.5134 	DATA 	Keypress: j
155.7006 	EXP 	Set  sound=./stim/G|G.mp3
155.7008 	EXP 	Sound  started
156.8814 	DATA 	Keypress: f
160.9730 	EXP 	Set  sound=./stim/G|P.mp3
160.9732 	EXP 	Sound  started
162.1695 	DATA 	Keypress: f
166.6433 	EXP 	Set  sound=./stim/G|G.mp3
166.6435 	EXP 	Sound  started
167.5294 	DATA 	Keypress: f
171.9528 	EXP 	Set  sound=./stim/P|G.mp3
171.9529 	EXP 	Sound  started
173.6655 	DATA 	Keypress: f
177.3677 	EXP 	Set  sound=./stim/P|G.mp3
177.3679 	EXP 	Sound  started
179.0415 	DATA 	Keypress: f
182.9082 	EXP 	Set  sound=./stim/P|G.mp3
182.9083 	EXP 	Sound  started
184.4567 	DATA 	Keypress: j
188.3076 	EXP 	Set  sound=./stim/P|G.mp3
188.3078 	EXP 	Sound  started
189.6733 	DATA 	Keypress: f
195.0341 	EXP 	Set  sound=./stim/G|G.mp3
195.0343 	EXP 	Sound  started
196.1856 	DATA 	Keypress: f
201.2642 	EXP 	Set  sound=./stim/P|G.mp3
201.2643 	EXP 	Sound  started
202.9134 	DATA 	Keypress: f
208.5010 	EXP 	Set  sound=./stim/G|P.mp3
208.5012 	EXP 	Sound  started
209.7935 	DATA 	Keypress: j
214.9454 	EXP 	Set  sound=./stim/P|G.mp3
214.9456 	EXP 	Sound  started
216.1695 	DATA 	Keypress: j
217.2206 	DATA 	Keypress: f
221.3656 	EXP 	Set  sound=./stim/G|P.mp3
221.3658 	EXP 	Sound  started
222.7135 	DATA 	Keypress: j
227.7273 	EXP 	Set  sound=./stim/G|G.mp3
227.7275 	EXP 	Sound  started
228.7216 	DATA 	Keypress: f
233.7172 	EXP 	Set  sound=./stim/P|P.mp3
233.7173 	EXP 	Sound  started
234.7055 	DATA 	Keypress: j
241.8653 	EXP 	Set  sound=./stim/P|G.mp3
241.8654 	EXP 	Sound  started
243.2415 	DATA 	Keypress: f
249.4980 	EXP 	Set  sound=./stim/P|G.mp3
249.4981 	EXP 	Sound  started
250.7455 	DATA 	Keypress: f
255.9905 	EXP 	Set  sound=./stim/P|G.mp3
255.9907 	EXP 	Sound  started
257.4895 	DATA 	Keypress: f
264.3350 	EXP 	Set  sound=./stim/P|P.mp3
264.3352 	EXP 	Sound  started
265.3935 	DATA 	Keypress: j
271.9685 	EXP 	Set  sound=./stim/G|G.mp3
271.9687 	EXP 	Sound  started
272.9613 	DATA 	Keypress: f
280.7310 	EXP 	Set  sound=./stim/P|G.mp3
280.7312 	EXP 	Sound  started
282.4895 	DATA 	Keypress: f
287.8411 	DATA 	Keypress: space
288.8828 	EXP 	window1: units = 'pix'
288.8880 	EXP 	window1: units = 'pix'
302.2958 	DATA 	Keypress: space
306.8451 	EXP 	Set  sound=./stim/G|G.mp3
306.8453 	EXP 	Sound  started
308.7056 	DATA 	Keypress: f
315.8008 	EXP 	Set  sound=./stim/P|P.mp3
315.8010 	EXP 	Sound  started
316.5535 	DATA 	Keypress: j
323.2255 	EXP 	Set  sound=./stim/P|P.mp3
323.2257 	EXP 	Sound  started
324.2655 	DATA 	Keypress: j
331.3499 	EXP 	Set  sound=./stim/P|P.mp3
331.3501 	EXP 	Sound  started
332.1849 	DATA 	Keypress: j
338.6423 	EXP 	Set  sound=./stim/P|P.mp3
338.6425 	EXP 	Sound  started
339.4894 	DATA 	Keypress: j
346.3547 	EXP 	Set  sound=./stim/P|P.mp3
346.3548 	EXP 	Sound  started
347.2495 	DATA 	Keypress: j
354.0818 	EXP 	Set  sound=./stim/P|P.mp3
354.0820 	EXP 	Sound  started
355.0336 	DATA 	Keypress: j
361.5598 	EXP 	Set  sound=./stim/P|P.mp3
361.5599 	EXP 	Sound  started
362.7455 	DATA 	Keypress: j
369.3672 	EXP 	Set  sound=./stim/P|P.mp3
369.3673 	EXP 	Sound  started
370.4176 	DATA 	Keypress: j
376.9885 	EXP 	Set  sound=./stim/P|P.mp3
376.9887 	EXP 	Sound  started
377.8016 	DATA 	Keypress: j
384.4254 	EXP 	Set  sound=./stim/P|P.mp3
384.4256 	EXP 	Sound  started
385.3057 	DATA 	Keypress: j
391.7563 	EXP 	Set  sound=./stim/P|P.mp3
391.7564 	EXP 	Sound  started
392.6175 	DATA 	Keypress: j
399.3307 	EXP 	Set  sound=./stim/P|P.mp3
399.3308 	EXP 	Sound  started
400.1776 	DATA 	Keypress: j
407.1356 	EXP 	Set  sound=./stim/G|P.mp3
407.1357 	EXP 	Sound  started
408.5217 	DATA 	Keypress: j
414.9158 	EXP 	Set  sound=./stim/P|P.mp3
414.9159 	EXP 	Sound  started
415.8656 	DATA 	Keypress: j
422.6580 	EXP 	Set  sound=./stim/P|P.mp3
422.6581 	EXP 	Sound  started
423.7616 	DATA 	Keypress: j
430.8495 	EXP 	Set  sound=./stim/P|P.mp3
430.8496 	EXP 	Sound  started
